Gene_ID	Amelonado	Contamana	Criollo	Curaray	Guianna	Iquitos	Maranon	Nacional	Nanay	Purus	#_of_populations
Thecc1EG000002t1	0	0	1	0	1	0	0	0	0	0	2
Thecc1EG000003t1	0	0	1	0	1	0	0	0	0	0	2
Thecc1EG000004t1	0	0	1	0	1	0	0	0	0	0	2
Thecc1EG000005t1	0	0	1	0	1	0	0	0	0	0	2
Thecc1EG000661t4	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000662t2	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000663t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000664t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000665t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000666t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000667t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000668t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000669t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000670t3	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000671t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000672t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000673t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000674t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000675t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000677t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000678t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000679t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000680t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000681t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000682t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000683t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000684t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000685t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000686t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000687t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000689t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000690t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000691t3	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000692t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000693t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000694t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000695t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000696t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000697t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000698t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000742t2	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG000744t1	0	0	0	0	1	0	1	0	0	0	2
