	OCSTHA.M.sd2	BLDFIE.M.sl2	CLYPPT.M.sl5	CRFVOL.M.sl3	SLTPPT.M.sl5	SNDPPT.M.sl4	CECSOL.M.sl2	PHIHOX.M.sl4	PHIKCL.M.sl3	TAXNWRB.Acric.Plinthosols	TAXNWRB.Albic.Arenosols	TAXNWRB.Ferralic.Arenosols	TAXNWRB.Haplic.Acrisols..Alumic.	TAXNWRB.Haplic.Cambisols	TAXNWRB.Haplic.Ferralsols	TAXNWRB.Haplic.Gleysols	TAXNWRB.Haplic.Nitisols..Rhodic.	TAXOUSDA.Aquepts	Temp	Diurnal_range	Isothermal	Temp_Seasonality	Prec	Prec_WettestMonth	Prec_DriestMonth
OCSTHA.M.sd2	1	-0.879502355	-0.439650387	-0.107655205	0.491009957	0.056477025	0.149952877	-0.236090654	-0.214720872	0.099833189	0.040353819	-0.132855842	0.038306361	-0.310407032	-0.536112888	0.141785165	-0.216750978	-0.046993504	0.013097969	-0.002295618	0.35060387	-0.326795467	0.085947375	0.026599187	0.064436213
BLDFIE.M.sl2	-0.879502355	1	0.167073927	-0.016598469	-0.108526382	-0.127647297	-0.156713686	0.149598002	0.163611678	0.26166523	0.051815017	0.328907006	0.100864993	0.306932788	0.360949558	0.204153218	0.188292006	-0.042966256	0.014088546	0.020414065	-0.220464371	0.212787693	-0.082641055	-0.069923446	-0.085882862
CLYPPT.M.sl5	-0.439650387	0.167073927	1	0.223203026	-0.520584088	-0.624060215	0.375581294	0.296374563	0.056354625	-0.334307024	-0.21821789	-0.768473279	0.047253471	0.034728163	0.325762069	-0.360377423	-0.450809885	0.581238194	-0.066664974	0.433819377	0.052371268	-0.139395586	-0.00565825	-0.160100787	0.119966114
CRFVOL.M.sl3	-0.107655205	-0.016598469	0.223203026	1	-0.603014085	0.255272033	0.39688143	0.265279527	-0.001091818	-0.290196141	0.361311589	-0.194008008	-0.40281647	0.496797757	0.05581808	-0.371605963	0.301032612	0.594578087	-0.166022325	0.278628151	-0.308097991	0.182647109	-0.395298191	0.244580565	-0.434934793
SLTPPT.M.sl5	0.491009957	-0.108526382	-0.520584088	-0.603014085	1	-0.322964783	-0.262664214	-0.568901497	-0.382676852	0.677275482	-0.034748468	0.252897489	0.507435076	-0.034821878	-0.346940354	0.730953468	-0.179977338	-0.465088416	0.318883923	-0.224203026	0.610138822	-0.561409392	0.423440483	0.037757006	0.384792413
SNDPPT.M.sl4	0.056477025	-0.127647297	-0.624060215	0.255272033	-0.322964783	1	-0.173135732	0.151881653	0.222484212	-0.294145231	0.312415473	0.578622788	-0.445161998	-0.007979622	-0.116528422	-0.261788157	0.709305842	-0.242450626	-0.235895115	-0.232860905	-0.631621208	0.672743206	-0.373697675	0.135506422	-0.483383912
CECSOL.M.sl2	0.149952877	-0.156713686	0.375581294	0.39688143	-0.262664214	-0.173135732	1	0.746643207	0.431548871	-0.172158	-0.121830288	-0.403033777	-0.227599948	-0.337978767	-0.557693632	-0.199379753	-0.450419146	0.926309306	-0.434831856	0.791174089	-0.365638243	0.289167378	-0.698629659	-0.620046938	-0.535132765
PHIHOX.M.sl4	-0.236090654	0.149598002	0.296374563	0.265279527	-0.568901497	0.151881653	0.746643207	1	0.845499338	-0.299495776	-0.23949064	-0.075366508	-0.444671291	-0.538962834	-0.247110226	-0.422635302	-0.277605088	0.715261903	-0.58079557	0.553856498	-0.730558935	0.740990092	-0.802108969	-0.678845313	-0.653485998
PHIKCL.M.sl3	-0.214720872	0.163611678	0.056354625	-0.001091818	-0.382676852	0.222484212	0.431548871	0.845499338	1	-0.209437276	-0.547428965	0.253630426	-0.375032352	-0.583821479	-0.239333082	-0.305559062	-0.219320752	0.384529254	-0.584339521	0.077113442	-0.653440951	0.773611025	-0.526801098	-0.497872715	-0.413451876
TAXNWRB.Acric.Plinthosols	0.099833189	0.26166523	-0.334307024	-0.290196141	0.677275482	-0.294145231	-0.172158	-0.299495776	-0.209437276	1	0.185048401	0.228082413	0.618593945	0.200394123	-0.086980475	0.240588382	0.011832662	-0.172511151	0.460633095	-0.00328012	0.224893952	-0.326167385	0.00397681	-0.152609482	-0.104976192
