"Position" "outlier" "ics.distance" "chr" "color" "midpoint" "Zlog"
"1" 2263 0 1.09480877708539 "scaffold_1" "grey58" 12011.5 0.0905797152196546
"2" 21762.6094 0 0.231159579325347 "scaffold_1" "grey58" 31511.1094 -1.46464698737611
"3" 41262.2188 0 0.316886617481867 "scaffold_1" "grey58" 51010.7188 -1.14921124264408
"4" 60761.8281 0 0.229375703671378 "scaffold_1" "grey58" 70510.3281 -1.47239399240088
"5" 80261.4375 0 0.193494177963682 "scaffold_1" "grey58" 90009.9375 -1.64250785500794
"6" 99761.0469 0 0.34050121706736 "scaffold_1" "grey58" 109509.5469 -1.07733657904548
"7" 119260.6562 0 0.0290646977589881 "scaffold_1" "grey58" 129009.1562 -3.5382309766791
"8" 138760.2656 0 0.196753703425362 "scaffold_1" "grey58" 148508.7656 -1.62580256886121
"9" 158259.875 0 0.111977944558821 "scaffold_1" "grey58" 168008.375 -2.189453350661
"10" 177759.4844 0 0.0206936853677415 "scaffold_1" "grey58" 187507.9844 -3.87792667994794
"11" 197259.0938 0 0.302691588320138 "scaffold_1" "grey58" 207007.5938 -1.19504085217395
"12" 216758.7031 0 0.272441511189355 "scaffold_1" "grey58" 226507.2031 -1.30033132575406
"13" 236258.3125 0 0.161730437442118 "scaffold_1" "grey58" 246006.8125 -1.82182429608617
"14" 255757.9219 0 0.0201560539903713 "scaffold_1" "grey58" 265506.4219 -3.90425058954208
"15" 275257.5312 0 0.290859384649076 "scaffold_1" "grey58" 285006.0312 -1.23491534286062
"16" 294757.1406 0 0.142963275248191 "scaffold_1" "grey58" 304505.6406 -1.94516749815144
"17" 314256.75 0 0.190839252384353 "scaffold_1" "grey58" 324005.25 -1.65632381584163
"18" 333756.3594 0 0.027463329412662 "scaffold_1" "grey58" 343504.8594 -3.59490364008297
"19" 353255.9688 0 0.16940754118764 "scaffold_1" "grey58" 363004.4688 -1.77544798070876
"20" 372755.5781 0 0.191310275627252 "scaffold_1" "grey58" 382504.0781 -1.65385868925164
"21" 392255.1875 0 0.200246170566808 "scaffold_1" "grey58" 402003.6875 -1.6082078164784
"22" 411754.7969 0 0.168630917351909 "scaffold_1" "grey58" 421503.2969 -1.78004287328692
"23" 431254.4062 0 0.208757658139194 "scaffold_1" "grey58" 441002.9062 -1.56658123022734
"24" 450754.0156 0 0.174862796711571 "scaffold_1" "grey58" 460502.5156 -1.74375363135311
"25" 470253.625 0 0.0204283459113845 "scaffold_1" "grey58" 480002.125 -3.89083183714133
"26" 489753.2344 0 0.177894077776759 "scaffold_1" "grey58" 499501.7344 -1.72656697448358
"27" 509252.8438 0 0.167738389643312 "scaffold_1" "grey58" 519001.3438 -1.78534971778606
"28" 528752.4531 0 0.335850176344349 "scaffold_1" "grey58" 538500.9531 -1.09109012220062
"29" 548252.0625 0 0.35420032349443 "scaffold_1" "grey58" 558000.5625 -1.03789264032374
"30" 567751.6719 0 0.181965666050369 "scaffold_1" "grey58" 577500.1719 -1.70393725777652
"31" 587251.2812 0 0.216052186994816 "scaffold_1" "grey58" 596999.7812 -1.53223529402263
"32" 606750.8906 0 0.0198253306876065 "scaffold_1" "grey58" 616499.3906 -3.9207948312671
"33" 626250.5 0 0.229365901873712 "scaffold_1" "grey58" 635999 -1.47243672581572
"34" 645750.1094 0 0.387851191792526 "scaffold_1" "grey58" 655498.6094 -0.94713353923181
"35" 665249.7188 0 0.0300036245188294 "scaffold_1" "grey58" 674998.2188 -3.50643708732349
"36" 684749.3281 0 0.178863204567433 "scaffold_1" "grey58" 694497.8281 -1.72113398560024
"37" 704248.9375 0 0.0313653097692867 "scaffold_1" "grey58" 713997.4375 -3.46205278120971
"38" 723748.5469 0 0.0865066240621491 "scaffold_1" "grey58" 733497.0469 -2.44753428922314
"39" 743248.1562 0 0.165829817539147 "scaffold_1" "grey58" 752996.6562 -1.7967932120453
"40" 762747.7656 0 0.0805897695001183 "scaffold_1" "grey58" 772496.2656 -2.51838356680469
"41" 782247.375 0 0.0502877414644587 "scaffold_1" "grey58" 791995.875 -2.98999394003824
"42" 801746.9844 0 0.0924425540817859 "scaffold_1" "grey58" 811495.4844 -2.38116786434075
"43" 821246.5938 0 0.0564195834016017 "scaffold_1" "grey58" 830995.0938 -2.87493895731358
"44" 840746.2031 0 0.281641728316006 "scaffold_1" "grey58" 850494.7031 -1.2671194827359
"45" 860245.8125 0 0.0710782207188056 "scaffold_1" "grey58" 869994.3125 -2.64397430810233
"46" 879745.4219 0 0.071382560860017 "scaffold_1" "grey58" 889493.9219 -2.63970168512745
"47" 899245.0312 0 0.0721740439612576 "scaffold_1" "grey58" 908993.5312 -2.6286747996413
"48" 918744.6406 0 0.629281454066834 "scaffold_1" "grey58" 928493.1406 -0.463176659617933
"49" 938244.25 0 0.0227325913373645 "scaffold_1" "grey58" 947992.75 -3.78395564245236
"50" 957743.8594 0 0.192461919233722 "scaffold_1" "grey58" 967492.3594 -1.64785696698617
