"Position" "outlier" "ics.distance" "chr" "color" "midpoint" "Zlog"
"1" 1533 1 58.7195312494326 "scaffold_1" "darkred" 11281 4.07277240146501
"2" 21031.3438 0 0.041676037169948 "scaffold_1" "grey58" 30779.3438 -3.17782896355363
"3" 40529.6875 0 0.0490081684228312 "scaffold_1" "grey58" 50277.6875 -3.01576829225807
"4" 60028.0312 0 0.0322592805751883 "scaffold_1" "grey58" 69776.0312 -3.43394950736486
"5" 79526.375 0 0.0196832561864345 "scaffold_1" "grey58" 89274.375 -3.9279869444167
"6" 99024.7188 0 0.0262404427439736 "scaffold_1" "grey58" 108772.7188 -3.64045344218375
"7" 118523.0625 0 0.0448271813811393 "scaffold_1" "grey58" 128271.0625 -3.10494059628819
"8" 138021.4062 0 0.00546026988483725 "scaffold_1" "grey58" 147769.4062 -5.21025706098955
"9" 157519.75 0 0.00175283493168732 "scaffold_1" "grey58" 167267.75 -6.34652084080394
"10" 177018.0938 0 0.00456418730161658 "scaffold_1" "grey58" 186766.0938 -5.38951480890751
"11" 196516.4375 0 0.000449471128899506 "scaffold_1" "grey58" 206264.4375 -7.70743893548245
"12" 216014.7812 0 0.0183174788473222 "scaffold_1" "grey58" 225762.7812 -3.99989954671056
"13" 235513.125 0 0.0329851934856852 "scaffold_1" "grey58" 245261.125 -3.41169650045562
"14" 255011.4688 0 0.0158148133659631 "scaffold_1" "grey58" 264759.4688 -4.14680822337142
"15" 274509.8125 0 0.000199847266620573 "scaffold_1" "grey58" 284257.8125 -8.51795715005548
"16" 294008.1562 0 0.000588199837651208 "scaffold_1" "grey58" 303756.1562 -7.43844380785392
"17" 313506.5 0 0.000238541642315283 "scaffold_1" "grey58" 323254.5 -8.34096666197419
"18" 333004.8438 0 0.0290662374213005 "scaffold_1" "grey58" 342752.8438 -3.53817800446016
"19" 352503.1875 0 0.0553671133268934 "scaffold_1" "grey58" 362251.1875 -2.89376948375059
"20" 372001.5312 0 0.00173116258811802 "scaffold_1" "grey58" 381749.5312 -6.35896207992107
"21" 391499.875 0 0.0553654345526152 "scaffold_1" "grey58" 401247.875 -2.89379980499417
"22" 410998.2188 0 0.0550731411069462 "scaffold_1" "grey58" 420746.2188 -2.89909313889337
"23" 430496.5625 0 0.0336921540325305 "scaffold_1" "grey58" 440244.5625 -3.39049028675595
"24" 449994.9062 0 0.0152878954468292 "scaffold_1" "grey58" 459742.9062 -4.18069391097197
"25" 469493.25 0 0.0288173189914408 "scaffold_1" "grey58" 479241.25 -3.54677871871155
"26" 488991.5938 0 0.0324358406837621 "scaffold_1" "grey58" 498739.5938 -3.42849127362227
"27" 508489.9375 0 0.0130552441125822 "scaffold_1" "grey58" 518237.9375 -4.33856537822515
"28" 527988.2812 0 0.0513316524691563 "scaffold_1" "grey58" 537736.2812 -2.96944770988006
"29" 547486.625 0 0.120806820200397 "scaffold_1" "grey58" 557234.625 -2.11356253646259
"30" 566984.9688 0 0.0900395312444463 "scaffold_1" "grey58" 576732.9688 -2.40750646903838
"31" 586483.3125 0 0.0244138349544103 "scaffold_1" "grey58" 596231.3125 -3.71260530104204
"32" 605981.6562 0 0.00224855478005913 "scaffold_1" "grey58" 615729.6562 -6.09746758911538
"33" 625480 0 0.0340963244441731 "scaffold_1" "grey58" 635228 -3.37856568806307
"34" 644978.3438 0 0.0378891268213219 "scaffold_1" "grey58" 654726.3438 -3.27309109931292
"35" 664476.6875 0 0.0513038204100089 "scaffold_1" "grey58" 674224.6875 -2.96999005764831
"36" 683975.0312 0 0.0134134405284246 "scaffold_1" "grey58" 693723.0312 -4.31149805020894
"37" 703473.375 0 0.00650379399827384 "scaffold_1" "grey58" 713221.375 -5.03536958032036
