"Position" "outlier" "ics.distance" "chr" "color" "midpoint" "Zlog"
"1" 27629 0 0.104716337054181 "scaffold_1" "grey58" 37370.5 -2.25650013646646
"2" 47114.0918 0 0.0234411708998625 "scaffold_1" "grey58" 56855.59 -3.75326136245513
"3" 66599.1836 0 0.020979121937476 "scaffold_1" "grey58" 76340.68 -3.86422752925035
"4" 86084.2754 0 0.0567359336733001 "scaffold_1" "grey58" 95825.78 -2.86934751813184
"5" 105569.3672 0 0.101088073609838 "scaffold_1" "grey58" 115310.87 -2.2917631261869
"6" 125054.459 0 0.108652324562661 "scaffold_1" "grey58" 134795.96 -2.21960217754621
"7" 144539.5508 0 0.124066708373011 "scaffold_1" "grey58" 154281.05 -2.0869358872814
"8" 164024.6426 0 0.120027510479804 "scaffold_1" "grey58" 173766.14 -2.1200343084764
"9" 183509.7344 0 0.123467243494518 "scaffold_1" "grey58" 193251.23 -2.09177939295729
"10" 202994.8262 0 0.112395525293615 "scaffold_1" "grey58" 212736.33 -2.18573115287003
"11" 222479.918 0 0.111327383251386 "scaffold_1" "grey58" 232221.42 -2.19528001995154
"12" 241965.0098 0 0.110203320338343 "scaffold_1" "grey58" 251706.51 -2.20542825260522
"13" 261450.1016 0 0.0868153662035055 "scaffold_1" "grey58" 271191.6 -2.44397164298949
"14" 280935.1934 0 0.123470017663787 "scaffold_1" "grey58" 290676.69 -2.09175692434113
"15" 300420.2852 0 0.0763359950317383 "scaffold_1" "grey58" 310161.79 -2.57261069529251
"16" 319905.377 0 0.00660598966405242 "scaffold_1" "grey58" 329646.88 -5.01977851664503
"17" 339390.4688 0 0.000160184900178944 "scaffold_1" "grey58" 349131.97 -8.73918178383392
"18" 358875.5605 0 0.00120303149938442 "scaffold_1" "grey58" 368617.06 -6.72291065830544
"19" 378360.6523 0 0.0185920502053796 "scaffold_1" "grey58" 388102.15 -3.98502119794087
"20" 397845.7441 0 0.120717354354822 "scaffold_1" "grey58" 407587.24 -2.11430338031254
"21" 417330.8359 0 0.0694206344171113 "scaffold_1" "grey58" 427072.34 -2.66757112976699
"22" 436815.9277 0 0.0906647937714069 "scaffold_1" "grey58" 446557.43 -2.40058615850062
"23" 456301.0195 0 0.0455893810023769 "scaffold_1" "grey58" 466042.52 -3.08808046233576
"24" 475786.1113 0 0.0536119983180198 "scaffold_1" "grey58" 485527.61 -2.92598238673909
"25" 495271.2031 0 0.0809793995448319 "scaffold_1" "grey58" 505012.7 -2.51356048326321
"26" 514756.2949 0 0.110953678003773 "scaffold_1" "grey58" 524497.79 -2.19864248005139
"27" 534241.3867 0 0.0420914693652821 "scaffold_1" "grey58" 543982.89 -3.16791018672865
"28" 553726.4785 0 0.109553565927373 "scaffold_1" "grey58" 563467.98 -2.21134166278696
"29" 573211.5703 0 0.1225402327383 "scaffold_1" "grey58" 582953.07 -2.09931587240212
"30" 592696.6621 0 0.0134113657352597 "scaffold_1" "grey58" 602438.16 -4.31165274233597
"31" 612181.7539 0 0.0231024273887248 "scaffold_1" "grey58" 621923.25 -3.76781758521211
"32" 631666.8457 0 0.0336428295567381 "scaffold_1" "grey58" 641408.35 -3.39195533455088
"33" 651151.9375 0 0.0609964846500103 "scaffold_1" "grey58" 660893.44 -2.79693904515778
"34" 670637.0293 0 0.089760147241818 "scaffold_1" "grey58" 680378.53 -2.41061419681451
"35" 690122.1211 0 0.0973257336944732 "scaffold_1" "grey58" 699863.62 -2.32969184691169
"36" 709607.2129 0 0.0577238971577556 "scaffold_1" "grey58" 719348.71 -2.85208402903009
"37" 729092.3047 0 0.069666480957863 "scaffold_1" "grey58" 738833.8 -2.6640359813656
"38" 748577.3965 0 0.0991519725853917 "scaffold_1" "grey58" 758318.9 -2.31110152925315
"39" 768062.4883 0 0.099513068353119 "scaffold_1" "grey58" 777803.99 -2.30746630320961
"40" 787547.5801 0 0.105175594728787 "scaffold_1" "grey58" 797289.08 -2.25212399486229
"41" 807032.6719 0 0.1069431040646 "scaffold_1" "grey58" 816774.17 -2.23545832365688
"42" 826517.7637 0 0.0998836746129614 "scaffold_1" "grey58" 836259.26 -2.30374902396936
"43" 846002.8555 0 0.0573465886662542 "scaffold_1" "grey58" 855744.36 -2.85864191989163
"44" 865487.9473 0 0.0179958530273565 "scaffold_1" "grey58" 875229.45 -4.0176139349983
"45" 884973.0391 0 0.00861175610893064 "scaffold_1" "grey58" 894714.54 -4.75462701979155
"46" 904458.1309 0 0.00357845329988225 "scaffold_1" "grey58" 914199.63 -5.63282461106436
"47" 923943.2227 0 0.0328041003923693 "scaffold_1" "grey58" 933684.72 -3.41720175944291
"48" 943428.3145 0 0.0155091932474936 "scaffold_1" "grey58" 953169.81 -4.16632231813726
"49" 962913.4062 0 0.000558700366587083 "scaffold_1" "grey58" 972654.91 -7.48989724535641
"50" 982398.498 0 0.00187415707478605 "scaffold_1" "grey58" 992140 -6.27959628075632
"51" 1001883.5898 0 0.00371412098603397 "scaffold_1" "grey58" 1011625.09 -5.59561324091339
"52" 1021368.6816 0 0.00264544528592571 "scaffold_1" "grey58" 1031110.18 -5.93491587777473
"53" 1040853.7734 0 0.000186921591129187 "scaffold_1" "grey58" 1050595.27 -8.5848213278144
"54" 1060338.8652 0 0.0141288982302113 "scaffold_1" "grey58" 1070080.37 -4.25953305912544
"55" 1079823.957 0 0.0295388624105583 "scaffold_1" "grey58" 1089565.46 -3.52204851275726
"56" 1099309.0488 0 0.00550179646809507 "scaffold_1" "grey58" 1109050.55 -5.20268060951312
"57" 1118794.1406 0 0.000396638273600436 "scaffold_1" "grey58" 1128535.64 -7.83248584224728
"58" 1138279.2324 0 0.000828749219196043 "scaffold_1" "grey58" 1148020.73 -7.0955929586112
"59" 1157764.3242 0 0.00588799898125656 "scaffold_1" "grey58" 1167505.82 -5.13483907057586
"60" 1177249.416 0 0.0107153288262652 "scaffold_1" "grey58" 1186990.92 -4.53607996212196
"61" 1196734.5078 0 0.0037719420128414 "scaffold_1" "grey58" 1206476.01 -5.5801652873828
"62" 1216219.5996 0 0.00906015709954231 "scaffold_1" "grey58" 1225961.1 -4.70386881917225
"63" 1235704.6914 0 0.036890577169949 "scaffold_1" "grey58" 1245446.19 -3.29979912179388
"64" 1255189.7832 0 0.106725783752387 "scaffold_1" "grey58" 1264931.28 -2.23749250270251
"65" 1274674.875 0 0.116094059741612 "scaffold_1" "grey58" 1284416.38 -2.15335455660353
"66" 1294159.9668 0 0.117669233244122 "scaffold_1" "grey58" 1303901.47 -2.13987769868184
"67" 1313645.0586 0 0.123464079906462 "scaffold_1" "grey58" 1323386.56 -2.09180501617927
"68" 1333130.1504 0 0.123009963487678 "scaffold_1" "grey58" 1342871.65 -2.0954899229255
"69" 1352615.2422 0 0.122739601538711 "scaffold_1" "grey58" 1362356.74 -2.09769022841141
"70" 1372100.334 0 0.122953908733462 "scaffold_1" "grey58" 1381841.83 -2.09594571958116
"71" 1391585.4258 0 0.12346970954454 "scaffold_1" "grey58" 1401326.93 -2.09175941984276
"72" 1411070.5176 0 0.123793288557379 "scaffold_1" "grey58" 1420812.02 -2.0891421321771
"73" 1430555.6094 0 0.0969813137956255 "scaffold_1" "grey58" 1440297.11 -2.33323696031868
"74" 1450040.7012 0 0.094451869941646 "scaffold_1" "grey58" 1459782.2 -2.35966488701307
