"Position" "outlier" "ics.distance" "chr" "color" "midpoint" "Zlog"
"1" 1395 0 4.7866053730162 "scaffold_1" "grey58" 11143.5 1.5658214697898
"2" 20894.3027 0 3.96023787290963 "scaffold_1" "grey58" 30642.8027 1.3763040923789
"3" 40393.6055 0 3.21855142101423 "scaffold_1" "grey58" 50142.1055 1.16893138908455
"4" 59892.9082 0 2.61316995694437 "scaffold_1" "grey58" 69641.4082 0.9605640272646
"5" 79392.2109 0 1.25660543733485 "scaffold_1" "grey58" 89140.7109 0.228413987998559
"6" 98891.5137 0 0.858824538664413 "scaffold_1" "grey58" 108640.0137 -0.152190640185422
"7" 118390.8164 0 0.158126736704997 "scaffold_1" "grey58" 128139.3164 -1.84435843644606
"8" 137890.1191 0 0.0749137663679801 "scaffold_1" "grey58" 147638.6191 -2.59141760871225
"9" 157389.4219 0 0.889587884284526 "scaffold_1" "grey58" 167137.9219 -0.116996974863043
"10" 176888.7246 0 0.102987304819575 "scaffold_1" "grey58" 186637.2246 -2.2731495525278
"11" 196388.0273 0 0.0610172007434197 "scaffold_1" "grey58" 206136.5273 -2.79659947515722
"12" 215887.3301 0 0.546960694158215 "scaffold_1" "grey58" 225635.8301 -0.603378336256782
"13" 235386.6328 0 0.658635820590313 "scaffold_1" "grey58" 245135.1328 -0.417584521526625
"14" 254885.9355 0 0.078347928818046 "scaffold_1" "grey58" 264634.4355 -2.54659574552574
"15" 274385.2383 0 0.0612381778652828 "scaffold_1" "grey58" 284133.7383 -2.79298446263135
"16" 293884.541 0 0.024423240826746 "scaffold_1" "grey58" 303633.041 -3.71222010711708
"17" 313383.8438 0 0.688063830195609 "scaffold_1" "grey58" 323132.3438 -0.373873668905156
"18" 332883.1465 0 0.34962903208782 "scaffold_1" "grey58" 342631.6465 -1.05088259491923
"19" 352382.4492 0 1.44680679910355 "scaffold_1" "grey58" 362130.9492 0.369358920492805
"20" 371881.752 0 1.23510572962094 "scaffold_1" "grey58" 381630.252 0.211156577444627
"21" 391381.0547 0 0.162504442554991 "scaffold_1" "grey58" 401129.5547 -1.8170499387861
"22" 410880.3574 0 0.266877706086123 "scaffold_1" "grey58" 420628.8574 -1.32096475514949
"23" 430379.6602 0 0.14876651357344 "scaffold_1" "grey58" 440128.1602 -1.90537722509841
"24" 449878.9629 0 0.065620975973356 "scaffold_1" "grey58" 459627.4629 -2.72385987845165
"25" 469378.2656 0 0.0660773676877043 "scaffold_1" "grey58" 479126.7656 -2.71692898579736
"26" 488877.5684 0 2.60582305110355 "scaffold_1" "grey58" 498626.0684 0.957748575823072
"27" 508376.8711 0 0.163649236141687 "scaffold_1" "grey58" 518125.3711 -1.81002994567989
"28" 527876.1738 0 0.248582569058182 "scaffold_1" "grey58" 537624.6738 -1.39198021878302
"29" 547375.4766 0 0.154627085866627 "scaffold_1" "grey58" 557123.9766 -1.86673895851971
"30" 566874.7793 0 0.24087192848424 "scaffold_1" "grey58" 576623.2793 -1.42348990382142
"31" 586374.082 0 0.279924072523169 "scaffold_1" "grey58" 596122.582 -1.27323688214611
"32" 605873.3848 0 0.264542736654926 "scaffold_1" "grey58" 615621.8848 -1.32975246548074
"33" 625372.6875 0 0.294209265353455 "scaffold_1" "grey58" 635121.1875 -1.22346397792711
"34" 644871.9902 0 0.111602593979499 "scaffold_1" "grey58" 654620.4902 -2.19281098576115
"35" 664371.293 0 0.172856113030847 "scaffold_1" "grey58" 674119.793 -1.7552957471372
"36" 683870.5957 0 0.0936050423136837 "scaffold_1" "grey58" 693619.0957 -2.36867102607689
"37" 703369.8984 0 0.0674297517875437 "scaffold_1" "grey58" 713118.3984 -2.69666893728137
"38" 722869.2012 0 0.523773437141363 "scaffold_1" "grey58" 732617.7012 -0.64669606002839
"39" 742368.5039 0 0.307796800958894 "scaffold_1" "grey58" 752117.0039 -1.17831545087733
"40" 761867.8066 0 0.110947665199583 "scaffold_1" "grey58" 771616.3066 -2.19869667354209
"41" 781367.1094 0 0.0634315437958681 "scaffold_1" "grey58" 791115.6094 -2.75779400505663
"42" 800866.4121 0 0.0425919025082261 "scaffold_1" "grey58" 810614.9121 -3.1560911257412
"43" 820365.7148 0 0.62463818191962 "scaffold_1" "grey58" 830114.2148 -0.470582705806816
"44" 839865.0176 0 1.14672524688536 "scaffold_1" "grey58" 849613.5176 0.136910268812305
"45" 859364.3203 0 0.0250980996183656 "scaffold_1" "grey58" 869112.8203 -3.68496314812644
"46" 878863.623 0 0.0214948086836506 "scaffold_1" "grey58" 888612.123 -3.83994382957824
"47" 898362.9258 0 0.0651432373733358 "scaffold_1" "grey58" 908111.4258 -2.73116678166872
"48" 917862.2285 0 0.130747488941789 "scaffold_1" "grey58" 927610.7285 -2.03448738125564
"49" 937361.5312 0 0.0416698604136375 "scaffold_1" "grey58" 947110.0312 -3.1779771833581
"50" 956860.834 0 0.0485694162023471 "scaffold_1" "grey58" 966609.334 -3.02476124241368
"51" 976360.1367 0 0.0748689630293696 "scaffold_1" "grey58" 986108.6367 -2.59201585311769
"52" 995859.4395 0 0.170828270799725 "scaffold_1" "grey58" 1005607.94 -1.76709649141986
"53" 1015358.7422 0 0.212204781789939 "scaffold_1" "grey58" 1025107.242 -1.55020351870205
"54" 1034858.0449 0 0.396549806587776 "scaffold_1" "grey58" 1044606.545 -0.924953630190222
"55" 1054357.3477 0 0.370522455434313 "scaffold_1" "grey58" 1064105.848 -0.99284122762293
"56" 1073856.6504 0 0.378956947783622 "scaffold_1" "grey58" 1083605.15 -0.970332674590489
"57" 1093355.9531 0 0.295000869649203 "scaffold_1" "grey58" 1103104.453 -1.22077697468326
"58" 1112855.2559 0 0.317446129150521 "scaffold_1" "grey58" 1122603.756 -1.14744714701217
"59" 1132354.5586 0 0.180399227638882 "scaffold_1" "grey58" 1142103.059 -1.7125829527437
"60" 1151853.8613 0 0.128804612685355 "scaffold_1" "grey58" 1161602.361 -2.04945865317865
"61" 1171353.1641 0 0.150745894743669 "scaffold_1" "grey58" 1181101.664 -1.89215967596011
"62" 1190852.4668 0 0.419471128247058 "scaffold_1" "grey58" 1200600.967 -0.868760579645855
"63" 1210351.7695 0 0.305510547266294 "scaffold_1" "grey58" 1220100.27 -1.18577097636319
"64" 1229851.0723 0 0.441041139394035 "scaffold_1" "grey58" 1239599.572 -0.818617121278427
"65" 1249350.375 0 0.0618816206938158 "scaffold_1" "grey58" 1259098.875 -2.78253206270532
