"Position" "outlier" "ics.distance" "chr" "color" "midpoint" "Zlog"
"1" 1395 0 0.358766286003571 "scaffold_1" "grey58" 12011.5 -1.02508411641307
"2" 20895.043 0 0.112484454990481 "scaffold_1" "grey58" 31511.1094 -2.18494024474749
"3" 40395.0859 0 0.10578345474777 "scaffold_1" "grey58" 51010.7188 -2.24636115413315
"4" 59895.1289 0 0.0771179994261257 "scaffold_1" "grey58" 70510.3281 -2.5624185700676
"5" 79395.1719 0 0.127716610943337 "scaffold_1" "grey58" 90009.9375 -2.05794144653822
"6" 98895.2148 0 0.113236470070885 "scaffold_1" "grey58" 109509.5469 -2.17827699132881
"7" 118395.2578 0 1.71708772079636 "scaffold_1" "grey58" 129009.1562 0.54062967018303
"8" 137895.3008 0 0.0763501595801803 "scaffold_1" "grey58" 148508.7656 -2.57242515720599
"9" 157395.3438 0 0.086441927845052 "scaffold_1" "grey58" 168008.375 -2.44828244489604
"10" 176895.3867 0 0.0546734126259149 "scaffold_1" "grey58" 187507.9844 -2.90637774574585
"11" 196395.4297 0 0.0625731734270409 "scaffold_1" "grey58" 207007.5938 -2.77141863222952
"12" 215895.4727 0 0.0803437290375506 "scaffold_1" "grey58" 226507.2031 -2.52144123542553
"13" 235395.5156 0 0.0304002733065985 "scaffold_1" "grey58" 246006.8125 -3.49330368026174
"14" 254895.5586 0 0.103385929459714 "scaffold_1" "grey58" 265506.4219 -2.26928640489352
"15" 274395.6016 0 0.0985778345253513 "scaffold_1" "grey58" 285006.0312 -2.31690884461942
"16" 293895.6445 0 0.0679800174548491 "scaffold_1" "grey58" 304505.6406 -2.68854147794972
"17" 313395.6875 0 0.0641972768388522 "scaffold_1" "grey58" 324005.25 -2.74579448602615
"18" 332895.7305 0 0.120534428308827 "scaffold_1" "grey58" 343504.8594 -2.11581985475291
"19" 352395.7734 0 0.125971165558795 "scaffold_1" "grey58" 363004.4688 -2.07170224299108
"20" 371895.8164 0 0.0656711062380364 "scaffold_1" "grey58" 382504.0781 -2.72309623351172
"21" 391395.8594 0 0.140502193980027 "scaffold_1" "grey58" 402003.6875 -1.96253217481405
"22" 410895.9023 0 0.139739009539905 "scaffold_1" "grey58" 421503.2969 -1.96797881376112
"23" 430395.9453 0 0.074551109564861 "scaffold_1" "grey58" 441002.9062 -2.59627035438301
"24" 449895.9883 0 0.0981826186621719 "scaffold_1" "grey58" 460502.5156 -2.32092607865484
"25" 469396.0312 0 0.106146584944336 "scaffold_1" "grey58" 480002.125 -2.24293426333028
"26" 488896.0742 0 0.0679814518871271 "scaffold_1" "grey58" 499501.7344 -2.68852037737932
"27" 508396.1172 1 46.4964517452116 "scaffold_1" "darkred" 519001.3438 3.83937600312723
"28" 527896.1602 0 0.0983236114602956 "scaffold_1" "grey58" 538500.9531 -2.31949108270351
"29" 547396.2031 0 0.0710507982935071 "scaffold_1" "grey58" 558000.5625 -2.64436018884406
"30" 566896.2461 0 0.10579342714736 "scaffold_1" "grey58" 577500.1719 -2.24626688674904
"31" 586396.2891 0 0.121311534186101 "scaffold_1" "grey58" 596999.7812 -2.10939337945625
"32" 605896.332 0 0.139096923506234 "scaffold_1" "grey58" 616499.3906 -1.9725842974344
"33" 625396.375 0 0.15104695867213 "scaffold_1" "grey58" 635999 -1.89016450592925
"34" 644896.418 0 0.0995024437822106 "scaffold_1" "grey58" 655498.6094 -2.30757307449397
"35" 664396.4609 0 0.0984100263353482 "scaffold_1" "grey58" 674998.2188 -2.31861258646282
"36" 683896.5039 0 0.14294513180426 "scaffold_1" "grey58" 694497.8281 -1.94529441602799
"37" 703396.5469 0 0.127176943332542 "scaffold_1" "grey58" 713997.4375 -2.06217590761521
"38" 722896.5898 0 0.13684963424357 "scaffold_1" "grey58" 733497.0469 -1.98887251618027
"39" 742396.6328 0 0.0985350097864058 "scaffold_1" "grey58" 752996.6562 -2.31734336465051
"40" 761896.6758 0 0.10938507904015 "scaffold_1" "grey58" 772496.2656 -2.21288078732579
"41" 781396.7188 0 0.0963529966149215 "scaffold_1" "grey58" 791995.875 -2.33973678325697
"42" 800896.7617 0 0.395356591956819 "scaffold_1" "grey58" 811495.4844 -0.927967156880116
"43" 820396.8047 0 0.137339879139727 "scaffold_1" "grey58" 830995.0938 -1.98529655579781
"44" 839896.8477 0 0.0287615310353496 "scaffold_1" "grey58" 850494.7031 -3.54871651265924
"45" 859396.8906 0 7.64446741432144 "scaffold_1" "grey58" 869994.3125 2.03398217237899
"46" 878896.9336 0 7.64641478900272 "scaffold_1" "grey58" 889493.9219 2.03423688295303
"47" 898396.9766 0 7.66181043854809 "scaffold_1" "grey58" 908993.5312 2.03624830550622
"48" 917897.0195 0 0.688236479777307 "scaffold_1" "grey58" 928493.1406 -0.373622779500637
"49" 937397.0625 0 0.126480404451899 "scaffold_1" "grey58" 947992.75 -2.06766788833224
"50" 956897.1055 0 0.0991222203911453 "scaffold_1" "grey58" 967492.3594 -2.31140164087154
"51" 976397.1484 0 3.50456171641779 "scaffold_1" "grey58" 986991.9688 1.25406546742318
"52" 995897.1914 0 0.0812028647121147 "scaffold_1" "grey58" 1006491.578 -2.51080475273097
"53" 1015397.2344 0 0.0934047861110833 "scaffold_1" "grey58" 1025991.188 -2.37081269190088
"54" 1034897.2773 0 0.0952418026914158 "scaffold_1" "grey58" 1045490.797 -2.3513363296613
"55" 1054397.3203 0 0.0952418026914158 "scaffold_1" "grey58" 1064990.406 -2.3513363296613
"56" 1073897.3633 0 0.0952418026914158 "scaffold_1" "grey58" 1084490.016 -2.3513363296613
"57" 1093397.4062 0 0.0831553734040367 "scaffold_1" "grey58" 1103989.625 -2.4870444524121
"58" 1112897.4492 0 0.0614529637292155 "scaffold_1" "grey58" 1123489.234 -2.78948321420284
"59" 1132397.4922 0 0.0572238465255794 "scaffold_1" "grey58" 1142988.844 -2.86078457017358
"60" 1151897.5352 0 0.0595934927245666 "scaffold_1" "grey58" 1162488.453 -2.82020889334539
"61" 1171397.5781 0 0.130565554491338 "scaffold_1" "grey58" 1181988.063 -2.03587984507955
"62" 1190897.6211 0 0.105044549751386 "scaffold_1" "grey58" 1201487.672 -2.25337073546081
"63" 1210397.6641 0 0.113170041684217 "scaffold_1" "grey58" 1220987.281 -2.1788637976716
"64" 1229897.707 0 0.0428957859384881 "scaffold_1" "grey58" 1240486.891 -3.14898168774511
"65" 1249397.75 0 0.0584018308534563 "scaffold_1" "grey58" 1259986.5 -2.84040803940895
"66" 1268897.793 0 0.0578456999215159 "scaffold_1" "grey58" 1279486.109 -2.84997615962608
