"Position" "outlier" "ics.distance" "chr" "color" "midpoint" "Zlog"
"1" 734 1 242.65785804838 "scaffold_1" "darkred" 10484 5.49165245961856
"2" 20236.4883 0 0.158764240752349 "scaffold_1" "grey58" 29986.49 -1.84033493970603
"3" 39738.9766 0 0.174374643840462 "scaffold_1" "grey58" 49488.98 -1.74654916890056
"4" 59241.4648 0 0.164579482813845 "scaffold_1" "grey58" 68991.46 -1.80436164727005
"5" 78743.9531 0 0.165974389018347 "scaffold_1" "grey58" 88493.95 -1.79592178555045
"6" 98246.4414 0 0.162329036788125 "scaffold_1" "grey58" 107996.44 -1.81812991234221
"7" 117748.9297 0 0.172565197478459 "scaffold_1" "grey58" 127498.93 -1.75698015752139
"8" 137251.418 0 0.166147603878436 "scaffold_1" "grey58" 147001.42 -1.79487870572136
"9" 156753.9062 0 0.173836171206868 "scaffold_1" "grey58" 166503.91 -1.74964196808744
"10" 176256.3945 0 0.171958315016459 "scaffold_1" "grey58" 186006.39 -1.76050318609677
"11" 195758.8828 0 0.173623001139469 "scaffold_1" "grey58" 205508.88 -1.75086899048956
"12" 215261.3711 0 0.173945284291662 "scaffold_1" "grey58" 225011.37 -1.74901448731382
"13" 234763.8594 0 0.169887574879815 "scaffold_1" "grey58" 244513.86 -1.77261838493959
"14" 254266.3477 0 0.168257907600373 "scaffold_1" "grey58" 264016.35 -1.78225731245104
"15" 273768.8359 0 0.168130711468116 "scaffold_1" "grey58" 283518.84 -1.78301355764549
"16" 293271.3242 0 0.16038964750572 "scaffold_1" "grey58" 303021.32 -1.83014912736755
"17" 312773.8125 0 0.15979600236281 "scaffold_1" "grey58" 322523.81 -1.83385726246594
"18" 332276.3008 0 0.164443656511817 "scaffold_1" "grey58" 342026.3 -1.80518728105387
"19" 351778.7891 0 0.156808688553442 "scaffold_1" "grey58" 361528.79 -1.85272876090813
"20" 371281.2773 0 0.148117887196583 "scaffold_1" "grey58" 381031.28 -1.90974678717171
"21" 390783.7656 0 0.140587150940522 "scaffold_1" "grey58" 400533.77 -1.96192769111791
"22" 410286.2539 0 0.127364302298593 "scaffold_1" "grey58" 420036.25 -2.06070377684581
"23" 429788.7422 0 0.124735335139269 "scaffold_1" "grey58" 439538.74 -2.08156110525436
"24" 449291.2305 0 0.117979859433676 "scaffold_1" "grey58" 459041.23 -2.13724135184989
"25" 468793.7188 0 0.130873901160606 "scaffold_1" "grey58" 478543.72 -2.0335210059252
"26" 488296.207 0 0.373720373537963 "scaffold_1" "grey58" 498046.21 -0.984247425544977
"27" 507798.6953 0 0.00717030110634207 "scaffold_1" "grey58" 517548.7 -4.93780762994666
"28" 527301.1836 0 0.10524745892412 "scaffold_1" "grey58" 537051.18 -2.25144094994987
"29" 546803.6719 0 0.115728551262019 "scaffold_1" "grey58" 556553.67 -2.15650790545835
"30" 566306.1602 0 0.154936614975164 "scaffold_1" "grey58" 576056.16 -1.86473918134397
"31" 585808.6484 0 0.120588906260261 "scaffold_1" "grey58" 595558.65 -2.1153679868119
"32" 605311.1367 0 0.0603921859124762 "scaffold_1" "grey58" 615061.14 -2.80689555472068
"33" 624813.625 0 0.105125871426608 "scaffold_1" "grey58" 634563.63 -2.25259687129072
"34" 644316.1133 0 0.0708731181138442 "scaffold_1" "grey58" 654066.11 -2.64686406947236
"35" 663818.6016 0 0.0193574221874576 "scaffold_1" "grey58" 673568.6 -3.94467935747345
"36" 683321.0898 0 0.178094549883246 "scaffold_1" "grey58" 693071.09 -1.72544069059638
"37" 702823.5781 0 0.192442438395676 "scaffold_1" "grey58" 712573.58 -1.64795819129125
"38" 722326.0664 0 0.104327426813058 "scaffold_1" "grey58" 732076.07 -2.26022099072804
"39" 741828.5547 0 0.0127055955973309 "scaffold_1" "grey58" 751578.55 -4.36571278433745
"40" 761331.043 0 0.0250891961276904 "scaffold_1" "grey58" 771081.04 -3.68531795866709
"41" 780833.5312 0 0.137241594498354 "scaffold_1" "grey58" 790583.53 -1.98601244273853
"42" 800336.0195 0 0.0427722367526932 "scaffold_1" "grey58" 810086.02 -3.15186606087689
"43" 819838.5078 0 2.86021478583848 "scaffold_1" "grey58" 829588.51 1.05089672195542
