"Position" "outlier" "ics.distance" "chr" "color" "midpoint" "Zlog"
"1" 1533 0 3.05915045345317 "scaffold_1" "grey58" 11281 1.11813724782759
"2" 21031.3438 0 3.04318281787769 "scaffold_1" "grey58" 30779.3438 1.11290394728231
"3" 40529.6875 0 0.780447024637568 "scaffold_1" "grey58" 50277.6875 -0.247888414952759
"4" 60028.0312 0 0.166888183209512 "scaffold_1" "grey58" 69776.0312 -1.79043125244156
"5" 79526.375 0 0.201473731600482 "scaffold_1" "grey58" 89274.375 -1.60209627035916
"6" 99024.7188 0 0.274897063121308 "scaffold_1" "grey58" 108772.7188 -1.29135856731178
"7" 118523.0625 0 0.0892260233854114 "scaffold_1" "grey58" 128271.0625 -2.41658253995568
"8" 138021.4062 0 0.140543138208564 "scaffold_1" "grey58" 147769.4062 -1.96224080382057
"9" 157519.75 0 0.140543138208564 "scaffold_1" "grey58" 167267.75 -1.96224080382057
"10" 177018.0938 0 0.139597317414236 "scaffold_1" "grey58" 186766.0938 -1.9689933050689
"11" 196516.4375 1 19998.00005 "scaffold_1" "darkred" 206264.4375 9.90338755003605
"12" 216014.7812 0 0.0995320646444649 "scaffold_1" "grey58" 225762.7812 -2.30727542899815
"13" 235513.125 0 0.110566280283151 "scaffold_1" "grey58" 245261.125 -2.20214011627841
"14" 255011.4688 0 0.153171799377162 "scaffold_1" "grey58" 264759.4688 -1.8761951157925
"15" 274509.8125 0 0.171182197560427 "scaffold_1" "grey58" 284257.8125 -1.7650268068939
"16" 294008.1562 0 0.282014869480039 "scaffold_1" "grey58" 303756.1562 -1.26579548078151
"17" 313506.5 0 0.282014868764492 "scaffold_1" "grey58" 323254.5 -1.26579548331878
"18" 333004.8438 0 0.274139389014233 "scaffold_1" "grey58" 342752.8438 -1.29411858291768
"19" 352503.1875 0 0.276864488763883 "scaffold_1" "grey58" 362251.1875 -1.28422710273586
"20" 372001.5312 0 0.236575618396495 "scaffold_1" "grey58" 381749.5312 -1.44148738263587
"21" 391499.875 0 0.0898633050013968 "scaffold_1" "grey58" 401247.875 -2.40946559656625
"22" 410998.2188 0 0.141133969919778 "scaffold_1" "grey58" 420746.2188 -1.95804569842745
"23" 430496.5625 0 0.141068161679038 "scaffold_1" "grey58" 440244.5625 -1.95851208924853
"24" 449994.9062 0 0.140368246205841 "scaffold_1" "grey58" 459742.9062 -1.96348597959502
"25" 469493.25 0 0.139754885538697 "scaffold_1" "grey58" 479241.25 -1.96786520842599
"26" 488991.5938 0 0.0814913034925909 "scaffold_1" "grey58" 498739.5938 -2.50725897004115
"27" 508489.9375 0 0.197041018839953 "scaffold_1" "grey58" 518237.9375 -1.62434335445671
"28" 527988.2812 0 0.169367610779333 "scaffold_1" "grey58" 537736.2812 -1.77568371469491
"29" 547486.625 0 0.169367610779333 "scaffold_1" "grey58" 557234.625 -1.77568371469491
"30" 566984.9688 0 0.169215876545364 "scaffold_1" "grey58" 576732.9688 -1.77658000320163
